status,category,pref_type,location,preference_domain,key,value_type,value,notes
enabled,Login Window,macOS,Library,com.apple.loginwindow,AdminHostInfo,,HostName,
enabled,Login Window,macOS,Library,com.apple.loginwindow,SHOWFULLNAME,bool,TRUE,Show username and password fields
enabled,Login Window,macOS,Library,com.apple.loginwindow,GuestEnabled,bool,FALSE,Disable Guest User (Do we need this still? (Should un-tick the box?)
disabled,Login Window,macOS,Library,com.apple.loginwindow,showInputMenu,bool,FALSE,Show language menu in the top right corner of the boot screen
,,,,,,,,
enabled,Finder,macOS,user,NSGlobalDomain,AppleShowAllExtensions,bool,TRUE,Show all file extensions
enabled,Finder,macOS,user,com.apple.finder,AppleShowAllFiles,string,Yes,Show all (hidden) files
enabled,Finder,macOS,user,com.apple.finder,ShowPathbar,bool,TRUE,Show path bar
enabled,Finder,macOS,user,NSGlobalDomain,AppleShowScrollBars,string,Always,Always show scroll bars
enabled,Finder,macOS,user,com.apple.finder,ShowStatusBar,bool,TRUE,Show status bar
disabled,Finder,macOS,user,NSGlobalDomain,NSTableViewDefaultSizeMode,int,2,?
enabled,Finder,macOS,user,com.apple.desktopservices,DSDontWriteNetworkStores,bool,TRUE,Do not create .DS_Store files on Mounted Network Volumes
enabled,Finder,macOS,user,com.apple.desktopservices,DSDontWriteUSBStores,bool,TRUE,Do not create .DS_Store files on Mounted USB Volumes
enabled,Finder,macOS,user,NSGlobalDomain,AppleActionOnDoubleClick,,Maximize,"Double-click a window's title bar to ""zoom"""
enabled,Finder,macOS,user,com.apple.finder,ShowRecentTags,bool,FALSE,
enabled,Finder,macOS,user,com.apple.finder,FXDefaultSearchScope,string,SCcf,"When performing a search, search the current folder by default"
enabled,Finder,macOS,user,com.apple.finder,FXEnableExtensionChangeWarning,bool,FALSE,Disable the warning when changing a file extension
enabled,Finder,macOS,user,NSGlobalDomain,NSNavPanelExpandedStateForSaveMode,bool,TRUE,Expand save panel by default
enabled,Finder,macOS,user,NSGlobalDomain,PMPrintingExpandedStateForPrint,bool,TRUE,Expand print panel by default
,,,,,,,,
enabled,Finder,macOS,user,com.apple.finder,ShowExternalHardDrivesOnDesktop,bool,FALSE,Show icons on the desktop for external hard drives
enabled,Finder,macOS,user,com.apple.finder,ShowHardDrivesOnDesktop,bool,FALSE,Show icons on the desktop for internal hard drives
enabled,Finder,macOS,user,com.apple.finder,ShowMountedServersOnDesktop,bool,FALSE,Show icons on the desktop for mounted servers
enabled,Finder,macOS,user,com.apple.finder,ShowRemovableMediaOnDesktop,bool,FALSE,Show icons on the desktop for removable media
,,,,,,,,
enabled,Finder,macOS,user,com.apple.finder,FXPreferredViewStyle,string,clmv,"Use column view in all Finder windows by default; Four-letter codes for the other view modes: `Nlsv`, `icnv`, `clmv`, `glyv`"
,,,,,,,,
enabled,Menu Bar,macOS,user,com.apple.systemuiserver,menuExtras,array,"/System/Library/CoreServices/Menu Extras/Volume.menu ""/System/Library/CoreServices/Menu Extras/Bluetooth.menu"" ""/System/Library/CoreServices/Menu Extras/AirPort.menu"" ""/System/Library/CoreServices/Menu Extras/Battery.menu"" ""/System/Library/CoreServices/Menu Extras/Clock.menu""",Reset icons in the Menu Bar and set visible items
enabled,Menu Bar,macOS,user,com.apple.systemuiserver,NSStatusItem Visible com.apple.menuextra.remotedesktop,bool,TRUE,Enable remote desktop icon in Menu Bar
enabled,Menu Bar,macOS,user,com.apple.menuextra.battery.plist,ShowPercent,string,YES,Enable battery percentage in Menu Bar
enabled,Menu Bar,macOS,user,com.apple.airplay,showInMenuBarIfPresent,bool,FALSE,Don't show mirroring options in menu bar
enabled,Menu Bar,macOS,user,com.apple.menuextra.clock,ShowAMPM,bool,TRUE,Show AM PM on the menu bar
enabled,Menu Bar,macOS,user,com.apple.menuextra.clock,ShowDayOfMonth,bool,TRUE,Show day of the month on the menu bar
enabled,Menu Bar,macOS,user,com.apple.menuextra.clock,ShowDayOfWeek,bool,TRUE,Show day of week on the menu bar
enabled,Menu Bar,macOS,user,com.apple.menuextra.clock,ShowSeconds,bool,TRUE,Show seconds on the menu bar
,,,,,,,,
enabled,Screensaver,macOS,ByHost,com.apple.screensaver,idleTime,int,600,Start after number of seconds
enabled,Screensaver,macOS,ByHost,com.apple.screensaver,showClock,bool,TRUE,Show with clock
enabled,Screensaver,macOS,ByHost,com.apple.screensaver,moduleDict,dict,"moduleName ""Computer Name"" path ""/System/Library/Frameworks/ScreenSaver.framework/Resources/Computer Name.saver"" type 0",Set the desired screen saver
,,,,,,,,
disabled,Dock,macOS,user,com.apple.dock,orientation,,bottom,Dock Position on screen
enabled,Dock,macOS,user,com.apple.dock,autohide,bool,TRUE,Automatically hide and show the Dock
enabled,Dock,macOS,user,com.apple.dock,autohide-delay,float,0,Remove the auto-hiding Dock delay
enabled,Dock,macOS,user,com.apple.dock,no-bouncing,bool,FALSE,?
enabled,Dock,macOS,user,com.apple.dock,launchanim,bool,TRUE,Animate opening applications
enabled,Dock,macOS,user,com.apple.dock,tilesize,int,40,Size of dock icon
enabled,Dock,macOS,user,com.apple.dock,largesize,int,45,Size of hovered dock icon (magnification)
enabled,Dock,macOS,user,com.apple.dock,magnification,bool,TRUE,Magnification enabled
enabled,Dock,macOS,user,com.apple.dock,mineffect,,genie,Minimize window effect
enabled,Dock,macOS,user,com.apple.dock,show-process-indicators,bool,TRUE,Show indicators for open applications
,,,,,,,,
disabled,Dock,macOS,user,com.apple.dock,show-recents,bool,TRUE,Don't show recent applications in Dock
,,,,,,,,
enabled,Dock,macOS,user,com.apple.dock,persistent-apps,array,,Wipe all (default) app icons from the Dock (Probably only want to run this on a *new* Mac)
enabled,Dock,macOS,user,com.apple.dock,persistent-apps,array-add,'<dict><key>tile-data</key><dict><key>file-data</key><dict><key>_CFURLString</key><string>/Applications/Launchpad.app</string><key>_CFURLStringType</key><integer>0</integer></dict></dict></dict>',Add preferred icons to the dock
enabled,Dock,macOS,user,com.apple.dock,persistent-apps,array-add,'<dict><key>tile-data</key><dict><key>file-data</key><dict><key>_CFURLString</key><string>/Applications/Notes.app</string><key>_CFURLStringType</key><integer>0</integer></dict></dict></dict>',Add preferred icons to the dock
enabled,Dock,macOS,user,com.apple.dock,persistent-apps,array-add,<dict><key>tile-data</key><dict><key>file-data</key><dict><key>_CFURLString</key><string>/Applications/Self%20Service.app</string><key>_CFURLStringType</key><integer>0</integer></dict></dict></dict>',Add preferred icons to the dock
enabled,Dock,macOS,user,com.apple.dock,persistent-apps,array-add,'<dict><key>tile-data</key><dict><key>file-data</key><dict><key>_CFURLString</key><string>/Applications/Visual%20Studio%20Code.app</string><key>_CFURLStringType</key><integer>0</integer></dict></dict></dict>',Add preferred icons to the dock
enabled,Dock,macOS,user,com.apple.dock,persistent-apps,array-add,'<dict><key>tile-data</key><dict><key>file-data</key><dict><key>_CFURLString</key><string>/Applications/iTerm.app</string><key>_CFURLStringType</key><integer>0</integer></dict></dict></dict>',Add preferred icons to the dock
enabled,Dock,macOS,user,com.apple.dock,persistent-apps,array-add,'<dict><key>tile-data</key><dict><key>file-data</key><dict><key>_CFURLString</key><string>/Applications/Utilities/Terminal.app</string><key>_CFURLStringType</key><integer>0</integer></dict></dict></dict>',Add preferred icons to the dock
enabled,Dock,macOS,user,com.apple.dock,persistent-apps,array-add,'<dict><key>tile-data</key><dict><key>file-data</key><dict><key>_CFURLString</key><string>/Applications/Remote%20Desktop.app</string><key>_CFURLStringType</key><integer>0</integer></dict></dict></dict>',Add preferred icons to the dock
enabled,Dock,macOS,user,com.apple.dock,persistent-apps,array-add,'<dict><key>tile-data</key><dict><key>file-data</key><dict><key>_CFURLString</key><string>/Applications/GitKraken.app</string><key>_CFURLStringType</key><integer>0</integer></dict></dict></dict>',Add preferred icons to the dock
enabled,Dock,macOS,user,com.apple.dock,persistent-apps,array-add,'<dict><key>tile-data</key><dict><key>file-data</key><dict><key>_CFURLString</key><string>/opt/ManagedFrameworks/Python.framework/Versions/Current/lib/python3.9/site-packages/PySide2/Designer.app</string><key>_CFURLStringType</key><integer>0</integer></dict></dict></dict>',Add preferred icons to the dock
enabled,Dock,macOS,user,com.apple.dock,persistent-apps,array-add,'<dict><key>tile-data</key><dict><key>file-data</key><dict><key>_CFURLString</key><string>/Applications/Sequel%20Ace.app</string><key>_CFURLStringType</key><integer>0</integer></dict></dict></dict>',Add preferred icons to the dock
enabled,Dock,macOS,user,com.apple.dock,persistent-apps,array-add,'<dict><key>tile-data</key><dict><key>file-data</key><dict><key>_CFURLString</key><string>/Applications/Utilities/Feedback%20Assistant.app</string><key>_CFURLStringType</key><integer>0</integer></dict></dict></dict>',Add preferred icons to the dock
,,,,,,,,
enabled,Mission Control / Dashboard,macOS,user,com.apple.dock,mru-spaces,bool,FALSE,Automatically rearrange Spaces based on most recent use
